DAY,FEMALE,MALE,ZOMBIE
0,25325,24987,2
1,25320,24987,4
2,25322,24989,5
3,25318,24988,5
4,25317,24988,5
5,25318,24986,7
6,25318,24987,8
7,25316,24987,11
8,25319,24986,12
9,25319,24983,13
10,25318,24986,13
11,25317,24984,14
12,25316,24984,14
13,25313,24987,15
14,25315,24987,15
15,25312,24986,15
16,25313,24987,15
17,25313,24988,16
18,25314,24988,17
19,25313,24987,19
20,25311,24982,21
21,25306,24983,23
22,25308,24989,24
23,25309,24988,24
24,25311,24983,24
25,25311,24982,25
26,25308,24983,25
27,25311,24984,25
28,25309,24981,26
29,25309,24976,29
30,25308,24977,31
31,25307,24976,32
32,25308,24978,32
33,25311,24978,32
34,25311,24977,33
35,25309,24978,33
36,25307,24979,34
37,25308,24979,35
38,25307,24979,35
39,25306,24979,37
40,25303,24979,39
41,25304,24980,39
42,25306,24980,39
43,25303,24981,42
44,25302,24978,45
45,25301,24978,48
46,25297,24979,51
47,25298,24980,52
48,25296,24981,55
49,25295,24983,56
50,25294,24984,56
51,25296,24984,58
52,25294,24984,60
53,25294,24988,62
54,25295,24989,66
55,25296,24991,67
56,25296,24991,67
57,25293,24990,69
58,25296,24987,69
59,25296,24984,70
60,25299,24985,71
61,25299,24985,73
62,25299,24985,77
63,25297,24984,81
64,25295,24986,82
65,25296,24987,83
66,25295,24988,86
67,25291,24991,88
68,25292,24989,90
69,25291,24991,90
70,25294,24990,91
71,25293,24989,93
72,25291,24990,94
73,25293,24986,97
74,25291,24983,99
75,25290,24983,104
76,25290,24980,106
77,25291,24979,107
78,25291,24976,108
79,25288,24981,111
80,25287,24981,112
81,25286,24981,114
82,25285,24982,116
83,25286,24983,117
84,25284,24983,120
85,25284,24985,120
86,25282,24985,125
87,25282,24985,126
88,25279,24986,128
89,25281,24985,129
90,25281,24985,132
91,25280,24984,134
92,25278,24981,140
93,25275,24984,144
94,25270,24987,149
95,25267,24984,153
96,25264,24979,157
97,25267,24980,158
98,25266,24980,160
99,25266,24977,161
100,25266,24972,165
101,25262,24973,169
102,25258,24972,169
103,25255,24968,174
104,25250,24970,176
105,25247,24966,181
106,25244,24967,182
107,25242,24967,183
108,25243,24965,185
109,25239,24964,188
110,25239,24966,190
111,25239,24967,193
112,25236,24964,199
113,25234,24965,200
114,25234,24962,204
115,25229,24957,213
116,25228,24956,216
117,25225,24952,222
118,25222,24952,225
119,25219,24947,231
120,25216,24946,236
121,25210,24940,242
122,25209,24940,248
123,25209,24940,253
124,25206,24938,258
125,25204,24939,259
126,25203,24940,260
127,25199,24938,265
128,25197,24935,268
129,25197,24937,271
130,25196,24935,274
131,25192,24935,278
132,25189,24932,280
133,25191,24932,281
134,25192,24933,286
135,25188,24929,292
136,25185,24923,295
137,25179,24920,303
138,25179,24916,305
139,25175,24916,308
140,25178,24916,310
141,25175,24913,314
142,25175,24910,316
143,25172,24909,319
144,25172,24907,321
145,25174,24903,326
146,25168,24904,332
147,25167,24899,337
148,25164,24894,341
149,25161,24891,343
150,25157,24892,346
151,25154,24889,351
152,25155,24890,353
153,25155,24887,358
154,25159,24888,358
155,25159,24886,367
156,25155,24880,375
157,25154,24876,383
158,25149,24871,389
159,25151,24870,393
160,25150,24867,396
161,25146,24867,401
162,25143,24867,404
163,25136,24858,412
164,25135,24852,420
165,25132,24850,425
166,25131,24848,427
167,25131,24847,430
168,25133,24845,432
169,25131,24846,436
170,25129,24845,440
171,25127,24845,446
172,25128,24844,450
173,25122,24842,454
174,25121,24838,457
175,25115,24837,461
176,25113,24837,463
177,25112,24837,464
178,25111,24839,464
179,25106,24836,472
180,25104,24837,475
181,25100,24835,482
182,25100,24837,484
183,25101,24834,487
184,25097,24833,491
185,25095,24831,496
186,25091,24827,501
187,25088,24827,506
188,25087,24829,511
189,25085,24828,514
190,25084,24829,516
191,25081,24822,521
192,25075,24822,531
193,25078,24825,533
194,25075,24828,538
195,25073,24824,541
196,25068,24823,545
197,25071,24819,550
198,25071,24819,554
199,25067,24815,562
200,25067,24812,569
201,25068,24810,573
202,25062,24809,574
203,25059,24810,580
204,25054,24810,588
205,25051,24809,592
206,25046,24809,597
207,25040,24805,604
208,25038,24807,606
209,25033,24801,614
210,25028,24799,622
211,25024,24794,630
212,25025,24793,631
213,25017,24792,638
214,25016,24782,649
215,25013,24781,653
216,25010,24780,656
217,25009,24776,660
218,25009,24775,664
219,25005,24774,670
220,25002,24773,675
221,25000,24768,682
222,24996,24766,686
223,24993,24766,689
224,24993,24762,694
