DAY,FEMALE,MALE,ZOMBIE
0,25316,24820,2
1,25317,24818,3
2,25320,24816,4
3,25319,24813,6
4,25317,24815,6
5,25316,24818,6
6,25312,24817,9
7,25309,24817,10
8,25308,24818,11
9,25309,24819,11
10,25313,24816,11
11,25313,24817,11
12,25311,24817,12
13,25310,24817,12
14,25313,24819,12
15,25312,24818,13
16,25310,24816,14
17,25311,24818,14
18,25308,24817,18
19,25308,24814,20
20,25307,24817,21
21,25308,24818,21
22,25306,24822,21
23,25305,24823,21
24,25303,24821,24
25,25303,24819,26
26,25301,24816,27
27,25300,24819,28
28,25300,24819,30
29,25298,24818,31
30,25296,24817,31
31,25295,24811,33
32,25296,24812,34
33,25294,24812,36
34,25292,24814,36
35,25292,24814,36
36,25292,24813,38
37,25289,24815,41
38,25287,24816,42
39,25286,24814,46
40,25290,24815,47
41,25289,24811,50
42,25288,24811,52
43,25287,24810,52
44,25285,24812,54
45,25287,24812,54
46,25287,24811,56
47,25286,24811,56
48,25284,24810,56
49,25285,24812,56
50,25286,24812,56
51,25287,24811,56
52,25283,24811,57
53,25283,24807,59
54,25285,24808,60
55,25286,24814,61
56,25286,24813,62
57,25285,24810,64
58,25286,24809,66
59,25284,24810,68
60,25284,24810,68
61,25284,24811,69
62,25283,24811,70
63,25284,24812,74
64,25285,24808,78
65,25285,24810,79
66,25284,24812,81
67,25287,24813,81
68,25287,24812,81
69,25283,24814,83
70,25281,24814,83
71,25282,24810,84
72,25283,24810,85
73,25281,24808,87
74,25283,24808,89
75,25283,24806,89
76,25283,24804,90
77,25283,24804,91
78,25284,24808,91
79,25284,24804,92
80,25281,24805,93
81,25276,24803,95
82,25277,24803,95
83,25272,24803,99
84,25271,24803,100
85,25266,24805,100
86,25267,24803,100
87,25266,24805,103
88,25266,24807,104
89,25264,24808,105
90,25261,24808,106
91,25260,24807,107
92,25259,24805,107
93,25261,24805,107
94,25261,24804,108
95,25263,24804,110
96,25267,24800,112
97,25270,24799,113
98,25269,24798,113
99,25268,24798,117
100,25266,24796,121
101,25265,24797,122
102,25266,24799,122
103,25266,24802,122
104,25269,24803,122
105,25271,24799,125
106,25270,24798,127
107,25268,24800,127
108,25266,24800,129
109,25267,24801,131
110,25269,24802,132
111,25266,24801,134
112,25263,24800,136
113,25263,24802,137
114,25262,24803,138
