DAY,FEMALE,MALE,ZOMBIE
0,79271,78268,2
1,79270,78270,3
2,79312,78316,4
3,79361,78366,4
4,79410,78409,5
5,79470,78466,5
6,79528,78541,5
7,79566,78603,5
8,79644,78674,5
9,79701,78732,5
10,79757,78793,6
11,79811,78860,6
12,79863,78911,7
13,79911,78964,8
14,79975,79015,8
15,80027,79060,9
16,80086,79096,10
17,80123,79154,10
18,80172,79193,10
19,80221,79236,11
20,80261,79272,11
21,80303,79315,11
22,80340,79349,11
23,80370,79387,11
24,80418,79426,11
25,80457,79461,11
26,80490,79492,13
27,80528,79535,15
28,80557,79566,15
29,80595,79595,16
30,80623,79634,17
31,80673,79661,18
32,80690,79687,18
33,80720,79714,19
34,80755,79750,20
35,80782,79782,20
36,80811,79809,21
37,80824,79845,21
38,80861,79866,23
39,80886,79888,25
40,80908,79912,27
41,80932,79934,30
42,80949,79956,30
43,80985,79973,30
44,81006,79995,30
45,81026,80016,31
46,81042,80041,31
47,81070,80063,31
48,81107,80092,31
49,81129,80114,31
50,81132,80133,32
51,81152,80162,32
52,81178,80184,33
53,81197,80211,34
54,81217,80232,35
55,81240,80250,36
56,81265,80278,36
57,81279,80293,37
58,81297,80318,37
59,81314,80342,38
60,81337,80368,40
61,81367,80391,41
62,81381,80406,43
63,81403,80425,45
64,81417,80443,46
65,81443,80460,47
66,81458,80485,47
67,81477,80505,49
68,81491,80527,50
69,81508,80538,51
70,81518,80548,53
71,81533,80560,53
72,81553,80575,57
73,81570,80594,57
74,81582,80606,60
75,81604,80622,62
76,81622,80625,64
77,81641,80651,65
78,81656,80662,68
79,81672,80684,70
80,81699,80701,71
81,81717,80716,74
82,81735,80729,75
83,81760,80742,76
84,81781,80743,78
85,81781,80774,80
86,81791,80792,82
87,81809,80816,83
88,81837,80834,84
89,81851,80857,86
90,81873,80866,90
91,81882,80881,92
92,81905,80900,93
93,81919,80922,95
94,81935,80948,95
95,81947,80973,95
96,81964,80985,95
97,81977,80998,97
98,82008,81011,99
99,82027,81022,101
100,82041,81041,102
101,82057,81063,105
102,82071,81068,107
103,82090,81085,109
104,82112,81099,112
105,82124,81117,115
106,82148,81127,117
107,82153,81134,120
108,82165,81152,122
109,82187,81165,123
110,82197,81188,124
111,82218,81206,126
112,82230,81212,130
113,82251,81219,131
114,82261,81232,132
115,82264,81253,135
116,82274,81261,136
117,82294,81278,136
118,82320,81292,138
119,82332,81302,143
120,82337,81315,147
121,82351,81334,149
122,82370,81351,149
123,82380,81359,151
124,82400,81378,151
125,82406,81387,154
126,82418,81398,156
127,82428,81422,159
128,82433,81424,161
129,82445,81442,161
130,82462,81450,161
131,82468,81464,162
132,82477,81477,162
133,82485,81482,162
134,82500,81491,163
135,82511,81499,166
136,82524,81513,166
137,82534,81534,168
138,82553,81537,169
139,82567,81542,173
140,82578,81558,176
141,82583,81563,177
142,82598,81578,179
143,82607,81585,181
144,82610,81602,184
145,82630,81622,184
146,82641,81635,188
147,82655,81646,191
148,82664,81643,192
149,82683,81656,192
150,82691,81673,192
151,82701,81688,193
